index,grade,sem,r_rmd,tidyverse,create_new_var,change_var,sub_analysis,sub_data,viz_mult_mak,viz_mult_interpret,eda_theme,rel_data,slr_fit,mlr_fit,mlr_check_cond,prediction,ht,ht_check_cond
1,87.1,Fall 2014,.r,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1
2,89.2,Fall 2014,.r ,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1
3,80.2,Fall 2014,.r ,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0
4,87.2,Fall 2014,.r ,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0
5,80.4,Fall 2014,.r ,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0
6 (have so little submitted),75.9,Fall 2014,.r ,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,90.2,Fall 2014,.r ,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0
8,83,Fall 2015-Section 06,.r ,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0
9,81,Fall 2015-Section 06,.r ,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0
10,88,Fall 2015-Section 06,.r ,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1
11,95,Fall 2015-Section 06,.r ,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0
12,87,Fall 2015-Section 06,.r ,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0
13,88,Fall 2015-Section 06,.r ,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0
14,85,Fall 2015-Section 06,.r ,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0
15,86,Fall 2015-Section 06,.r,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0
16,84,Fall 2015-Section 06,",r",1,0,0,1,0,0,0,1,1,0,1,1,1,1,0
17,89,Fall 2015-Section 06,.r,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0
18,84,Fall 2015-Section 06,.r,1,0,0,1,0,0,0,0,1,1,1,1,0,0,NA
19,84,Fall 2015-Section 06,.r,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1
20,93,Fall 2015-Section 06,.r,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0
21,84,Fall 2015-Section 06,.r,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0
22,85,Fall 2015-Section 06,.r,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0
23,92,Fall 2015-Section 06,.r,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0
24,85,Fall 2015-Section 06,.rmd,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1
25,84,Fall 2015-Section 06,.r,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0
26,81,Fall 2015-Section 06,.r,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0
27,76,Fall 2015-Section 06,.r,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0
28,89,Fall 2015-Section 06,.r,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0
29,95,Fall 2015-Section 06,.r,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0
30,79,Fall 2015-Section 06,.r,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0
31,84,Fall 2015-Section 06,.r,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0
32,82,Fall 2015-Section 06,.r,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0
33,87,Fall 2015-Section 06,.r,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0
34,88,Fall 2015-Section 06,.r,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0
35,85,Fall 2015-Section 06,.r,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0
36,92,Fall 2015-Section 06,.r,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1
37,87,Fall 2015-Section 06,.r,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0
38,87.1,Fall 2014,.r,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
39,87.3,Fall 2014,.r,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0
40,86.7,Fall 2014,.r,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1
41,78.3,Fall 2014,.r,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
42,92.5,Fall 2014,.r,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0
43,85.7,Fall 2014,.r,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0
44,88,Fall 2014,.r,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1
45,85.4,Fall 2014,.r,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1
46,82.7,Fall 2014,.r,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
47,86,Fall 2014,.r,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1
48,89.9,Fall 2014,.r,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0
49,91.8,Fall 2014,.r,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0
50,80.4,Fall 2014,.r,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0
51,91.3,Fall 2014,.r,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0
52,79.6,Fall 2014,.r,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0
53,75.7,Fall 2014,.r,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0
54,87.7,Fall 2014,.r,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0
55,87.5,Fall 2014,.r,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
56,80.6,Fall 2014,.r,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
57,89,Fall 2014,.r,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
58,84.6,Fall 2014,.r,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1
59 (have so little),86.6,Fall 2014,.r,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
60,84.2,Fall 2014,.r,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0
61,93.9,Fall 2013,.rmd,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0
62,87.5,Fall 2013,.rmd,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0
63,91.1,Fall 2013,.rmd,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0
64,90.6,Fall 2013,.rmd,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0
65,91.7,Fall 2013,.rmd,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0
66,91.2,Fall 2013,exec,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
67,89.2,Fall 2013,.rmd,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0
68,88.1,Fall 2013,.rmd,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
69,90.2,Fall 2013,.rmd,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0
70,90.4,Fall 2013,.rmd,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
71,88.9,Fall 2013,.rmd,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0
72,86.7,Fall 2013,.rmd,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1
73,84.7,Fall 2013,.html,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
74,92.1,Fall 2013,.rmd,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1
75,91.4,Fall 2013,.rmd,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0
76,86.1,Fall 2013,.rmd,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1
77,92.1,Fall 2013,.rmd,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0
78,90.4,Fall 2013,.rmd,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0
79,91.6,Fall 2013,.rmd,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
80,91.4,Fall 2013,.rmd,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
81,85.3,Fall 2013,.rmd,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
82,86.5,Fall 2013,.rmd,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0
83,93.4,Fall 2013,.rmd,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0
84,91,Fall 2015-Section 01,.r,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0
85,75,Fall 2015-Section 01,.r,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0
86 (have so little submitted),86,Fall 2015-Section 01,.r,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
87,87,Fall 2015-Section 01,.r,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1
88,85,Fall 2015-Section 01,.r,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0
89,89,Fall 2015-Section 01,.r,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1
90,77,Fall 2015-Section 01,.r,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0
91,92,Fall 2015-Section 01,.r,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0
92,88,Fall 2015-Section 01,.r,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0
93,90,Fall 2015-Section 01,.r,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1
94,76,Fall 2015-Section 01,.rmd,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0
95,86,Fall 2015-Section 01,.rmd,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0
96,83.8,Fall 2015-Section 01,.rproj,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1
97,85,Fall 2015-Section 01,.r,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1
98,92,Fall 2015-Section 01,.r,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
99,55,Fall 2015-Section 01,.r,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
100,81,Fall 2015-Section 01,.r,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0
101,86,Fall 2015-Section 01,.r,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1
102 (have so little submitted),88,Fall 2015-Section 01,.r,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
103,92,Fall 2015-Section 01,.r,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0
104,90,Fall 2015-Section 01,.r,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1
105 (have so little submitted),90,Fall 2015-Section 01,.r,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106,87,Fall 2015-Section 01,.r,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0
107,94,Fall 2015-Section 01,.r,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0
108,90,Fall 2015-Section 01,.r,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0
109,94,Fall 2015-Section 01,.r,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0
110,81,Fall 2015-Section 01,.r,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1
111,81.8,Fall 2015-Section 01,.r,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1
112 (have so little submitted),86.7,Spring 2015,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,82,Spring 2015,.r,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0
114,94.7,Spring 2015,.r,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
115 (have so little submitted),77.7,Spring 2015,.r,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
116,85.3,Spring 2015,.r,0,0,0,1,0,0,0,1,?,1,1,1,1,1,0
117,88.2,Spring 2015,.r,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0
118,89.3,Spring 2015,.r,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0
119,87.8,Spring 2015,.r,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0
120,88.6,Spring 2015,.r,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
121,86.7,Spring 2015,.r,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
122,82.6,Spring 2015,.r,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1
123,86.4,Spring 2015,.r,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0
124 (have so little submitted),89.9,Spring 2015,.r,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
125,88,Spring 2015,.r,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0
126 (have so little submitted),92.7,Spring 2015,.r,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
127,96.7,Spring 2015,.r,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1
128,90.8,Spring 2015,.r,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0
129,93.9,Spring 2015,.rmd,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1
130,87,Spring 2015,.r,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0
131,78.7,Spring 2015,.r,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
132,79,Spring 2015,.r,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1
133 (have so little submitted),87.8,Spring 2015,.r,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
134,67.9,Spring 2015,.r,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1
135,82,Spring 2015,.r,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
136,80.4,Spring 2015,.r,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1
137,94.6,Spring 2015,.r,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1
138,87.9,Spring 2015,.r,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0
139,84,Spring 2015,.r,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
140,93.7,Spring 2015,.r,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
141,89,Spring 2016-Section 01,.rmd,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1
142,96.4,Spring 2016-Section 01,.rmd,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1
143,89.4,Spring 2016-Section 01,.rmd,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1
144,89.3,Spring 2016-Section 01,.rmd,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1
145,84,Spring 2016-Section 01,.rmd,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1
146,90.3,Spring 2016-Section 01,.rmd,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
147,89.8,Spring 2016-Section 01,.rmd,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
148,88,Spring 2016-Section 01,.rmd,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1
149,85.8,Spring 2016-Section 01,.rmd,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0
150,97.4,Spring 2016-Section 01,.rmd,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
151,86.7,Spring 2016-Section 01,.rmd,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
152,81.5,Spring 2016-Section 01,.rmd,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1
153,85.7,Spring 2016-Section 01,.rmd,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1
154,91.5,Spring 2016-Section 01,.rmd,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1
155,83.8,Spring 2016-Section 01,.rmd,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1
156,82.9,Spring 2016-Section 01,.rmd,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
157,86.9,Spring 2016-Section 01,.rmd,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
158,91.4,Spring 2016-Section 01,.rmd,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1
159,84.3,Spring 2016-Section 01,.rmd,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
160,94,Spring 2016-Section 01,.rmd,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1
161,88.4,Spring 2016-Section 01,.rmd,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1
